課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
12-1,11,民主,mínzhǔ,Vs,democratic,dân chủ,ประชาธิปไตย,ဒီမိုကရေစီ,民主的な,민주적인,democrático,demokratis,3
12-1,12,表達,biǎodá,V,to express,"bày tỏ, thể hiện",เพื่อแสดง,ဖော်ပြရန်,表現する,표현하다,expresar,mengekspresikan,3
12-1,13,公共,gōnggòng,Vs-attr,public,công cộng,สาธารณะ,အများသူငှာ,公共,공공의,público,publik,3
12-1,14,議題,yìtí,N,issue,"vấn đề, chủ đề thảo luận",ปัญหา,ထုတ်ပြန်သည်,問題,문제,asunto,masalah,3
12-1,15,核能,hénéng,N,nuclear power,năng lượng hạt nhân,พลังงานนิวเคลียร์,နျူကလီးယားစွမ်းအင်,原子力,원자력,energía nuclear,tenaga nuklir,3
12-1,16,電廠,diànchǎng,N,power plant,nhà máy điện,โรงไฟฟ้า,ဓာတ်အားပေးစက်ရုံ,発電所,발전소,central eléctrica,pembangkit tenaga listrik,3
12-1,17,由,yóu,Prep,"up to, by (a doer)",bởi (ai đó),จนถึงโดย (ผู้กระทำ),…ပေါ်တွင် မူတည်သည်၊ …က/မှ (လုပ်ဆောင်သူ),まで、（行為者）によって,"(행위자)에 의해, 최대로","hasta, por (un hacedor)","sampai, oleh (seorang pelaku)",3
12-1,18,專家,zhuānjiā,N,"expert, specialist",chuyên gia,"ผู้เชี่ยวชาญ, ผู้เชี่ยวชาญ",ကျွမ်းကျင်သူ၊ ကျွမ်းကျင်သူ,専門家、専門家,"전문가, 전문가","experto, especialista","ahli, spesialis",3
12-1,19,全面,quánmiàn,Adv,comprehensively,toàn diện,อย่างทั่วถึง,ကျယ်ကျယ်ပြန့်ပြန့်,総合的に,종합적으로,exhaustivamente,secara komprehensif,3
12-1,20,民意,mínyì,N,"public will, popular opinion",ý dân,เจตจำนงสาธารณะความคิดเห็นของประชาชน,လူထုဆန္ဒ၊ လူထုသဘောထား,民意、世論,"대중의 의지, 대중의 의견","voluntad pública, opinión popular","kemauan publik, opini populer",3
12-1,21,代表,dàibiǎo,N,representative,đại diện (danh từ),ตัวแทน,ကိုယ်စားလှယ်,代表,대표,representante,perwakilan,3
12-1,22,處理,chǔlǐ,V,"to deal with, handle, tackle","xử lý, giải quyết","จัดการกับ, จัดการ, ต่อสู้",ကိုင်တွယ်ရန်၊ ကိုင်တွယ်ရန်၊ ကိုင်တွယ်ရန်,対処する、扱う、取り組む,"다루다, 처리하다, 태클하다","tratar con, manejar, abordar","menangani, menangani, menangani",3
12-1,23,政黨,zhèngdǎng,N,political party,đảng phái chính trị,พรรคการเมือง,နိုင်ငံရေး ပါတီ,政党,정당,partido político,partai politik,3
12-1,24,難道,nándào,Adv,"Could it be that…?, Is it that…?","chẳng lẽ, lẽ nào","เป็นไปได้ไหมว่า…?, มันคือ…?",ဒါပဲလား...?၊ ဒါပဲလား...?,もしかして…?、あれ…?,"설마 그게…?, 그게…?","¿Será que…?, ¿Será que…?","Mungkinkah itu…?, Apakah itu…?",3
12-1,25,滿,mǎn,Vpt,to become,"tròn, đầy (được... tuổi)",เปลี่ยน (plian) / กลายเป็น (klai pen),ပြောင်းလဲသည် (pyoung le thi) / ဖြစ်လာသည် (pyit la thi),変わる (kawaru) / なる (naru),변하다 (byeonhada) / 되다 (doeda),convertirse en,menjadi,3
12-1,26,憲法,xiànfǎ,N,constitution,hiến pháp,รัฐธรรมนูญ,ဖွဲ့စည်းပုံ အခြေခံဥပဒေ,憲法,헌법,constitución,konstitusi,3
12-1,27,投票權,tóupiào quán,N,"right to vote, suffrage",quyền bỏ phiếu,"สิทธิในการลงคะแนนเสียง, การลงคะแนนเสียง",မဲပေးပိုင်ခွင့်၊ မဲပေးပိုင်ခွင့်,投票権、参政権,"투표할 권리, 참정권","derecho al voto, sufragio","hak untuk memilih, hak pilih",3
12-1,28,選舉,xuǎnjǔ,N,election,sự bầu cử,การเลือกตั้ง,ရွေးကောက်ပွဲ,選挙,선거,elección,pemilihan,3
12-1,29,權利,quánlì,N,right,quyền lợi,ขวา,မှန်တယ်,右,오른쪽,bien,Kanan,3
12-1,30,表示,biǎoshì,V,"to mean, indicate","có nghĩa là, cho thấy",หมายถึงระบุ,ဆိုလိုတာက ထောက်ပြတယ်။,意味する、示す,"의미하다, 나타내다","querer decir, indicar","artinya, menunjukkan",3
12-1,31,反映,fǎnyìng,Vpt,to reflect,phản ánh,เพื่อสะท้อน,ထင်ဟပ်ရန်,反省する,반영하다,reflexionar,mencerminkan,3
12-1,32,為,wèi,Prep,for,"vì, cho",สำหรับ (sam rap),အတွက် (a twet),～のために (no tame ni),~을 위해 (eul wihae),para,untuk,3
12-1,33,服務,fúwù,V,to serve,phục vụ,ที่จะให้บริการ,အစေခံရန်,奉仕する,봉사하다,servir,melayani,3
12-1,34,職位,zhíwèi,N,"position, job",chức vụ,ตำแหน่งงาน,ရာထူး၊ အလုပ်,立場、仕事,"지위, 직업","posición, trabajo","posisi, pekerjaan",3
12-1,35,任期,rènqí,N,term of office,nhiệm kỳ,วาระการดำรงตำแหน่ง,ရာထူးသက်တမ်း,任期,임기,cadencia,masa jabatan,3
12-1,36,選民,xuǎnmín,N,"voters, electorate",cử tri,ผู้มีสิทธิเลือกตั้ง ผู้มีสิทธิเลือกตั้ง,မဲဆန္ဒရှင်များ၊ မဲဆန္ဒရှင်များ,有権者、有権者,"유권자, 유권자","votantes, electorado","pemilih, pemilih",3
12-1,37,完美,wánměi,Vs,perfect,hoàn hảo,สมบูรณ์แบบ,ပြီးပြည့်စုံသော,完璧,완벽한,perfecto,sempurna,3
12-1,38,積極,jījí,Vs,"actively, to take it upon oneself to, take the initiative to","tích cực, chủ động",กระตือรือร้นที่จะรับเอาเองเพื่อริเริ่ม,တက်ကြွစွာ၊ ကိုယ်တိုင်လုပ်ဆောင်ရန်၊ အစပြုလုပ်ဆောင်ပါ။,積極的に、自ら引き受ける、率先して行動する,"적극적으로, 스스로 주도권을 쥐다, 주도권을 쥐다","activamente, asumir la responsabilidad de tomar la iniciativa de","secara aktif, mengambil tanggung jawab untuk, mengambil inisiatif untuk",3
12-1,39,最佳,zuìjiā,Vs-attr,"the very best, the best possible","tốt nhất, hay nhất",ดีที่สุด ดีที่สุดเท่าที่จะเป็นไปได้,အကောင်းဆုံး၊ အကောင်းဆုံး ဖြစ်နိုင်တယ်။,最高の、可能な限り最高の,"최선을 다해, 가능한 한 최선을 다해","lo mejor, lo mejor posible","yang terbaik, yang terbaik",3
12-1,40,推銷員,tuīxiāo yuán,N,salesperson,nhân viên tiếp thị,พนักงานขาย,အရောင်းသမား,販売員,영업사원,vendedor,penjual,3
12-1,41,有道理,yǒu dàolǐ,,there’s some truth (to what you are saying),có lý,มีความจริงบางอย่าง (กับสิ่งที่คุณพูด),အမှန်တရားတစ်ခုရှိတယ် (မင်းပြောတာကို),(あなたの言っていることには)いくつかの真実があります,(네 말은) 어느 정도 진실이 있어,hay algo de verdad (en lo que estás diciendo),ada benarnya (apa yang kamu katakan),3
12-1,42,候選人,hòuxuǎn rén,,candidate,ứng cử viên,ผู้สมัคร,ကိုယ်စားလှယ်လောင်း,候補者,후보자,candidato,calon,3
12-2,1,學術界,xuéshùjiè,N,"academia, the academic fields or circles",giới học thuật,วิชาการ สาขาวิชา หรือแวดวงวิชาการ,ပညာရပ်ဆိုင်ရာ ပညာရပ်နယ်ပယ်များ သို့မဟုတ် စက်ဝိုင်းများ,学界、学術分野またはサークル,"학계, 학문 분야 또는 동계","academia, los campos o círculos académicos","akademisi, bidang akademis atau kalangan",3
12-2,2,從政,cóngzhèng,Vi,to engage in politics,tham gia chính trị,เพื่อมีส่วนร่วมในการเมือง,နိုင်ငံရေးမှာ ပါဝင်ဖို့,政治に参加する,정치에 참여하다,involucrarse en política,terlibat dalam politik,3
12-2,3,政策,zhèngcè,N,policy,chính sách,นโยบาย,မူဝါဒ,ポリシー,정책,política,kebijakan,3
12-2,4,安定,āndìng,Vs,stable,ổn định,มั่นคง,တည်ငြိမ်သည်။,安定した,안정적인,estable,stabil,3
12-2,5,辭,cí,Vp,"to quit, resign",từ chức,ลาออก,နုတ်ထွက်ရန်၊ နုတ်ထွက်ရန်,やめる、辞任する,"그만두다, 사임하다","renunciar, dimitir","berhenti, mengundurkan diri",3
12-2,6,頭腦,tóunǎo,N,"brain, mind",đầu óc,สมองจิตใจ,ဦးနှောက်၊ စိတ်,脳、心,"뇌, 마음","cerebro, mente","otak, pikiran",3
12-2,7,改革,gǎigé,N,reforms,cải cách,การปฏิรูป,ပြုပြင်ပြောင်းလဲမှုများ,改革,개혁,reformas,reformasi,3
12-2,8,看法,kànfǎ,N,"view, opinion",quan điểm,มุมมองความคิดเห็น,အမြင်၊ သဘောထား,見解、意見,"견해, 의견","ver, opinar","pandangan, opini",3
12-2,9,教育,jiàoyù,N,education ,giáo dục,การศึกษา,ပညာရေး,教育,교육,educación,pendidikan,3
12-2,10,方面,fāngmiàn,N,in the areas of (an issue),"mặt, lĩnh vực",ในด้าน (ประเด็น),(ပြဿနာ) နယ်ပယ်များတွင်,（問題）の分野で,(문제) 분야에서,en las áreas de (un problema),di bidang (masalah),3
12-2,11,得到,dédào,V,to obtain,đạt được,ที่จะได้รับ,ရယူရန်,入手する,획득하다,obtener,memperoleh,3
12-2,12,連任,liánrèn,V,to serve a successive term,tái cử,ให้ดำรงตำแหน่งต่อเนื่องกัน,သက်တမ်း အဆက်ဆက် ထမ်းဆောင်ရန်,引き続き任期を務める,연임하다,cumplir un mandato sucesivo,menjalani masa jabatan berturut-turut,3
12-2,13,屆,jiè,M,"term, tenure of elected office",nhiệm kỳ (của chức vụ dân cử),วาระการดำรงตำแหน่งที่ได้รับเลือก,သက်တမ်း၊ ရွေးကောက်ခံရာထူးသက်တမ်း,任期、選出された役職の在職期間,"임기, 선출직 임기","mandato, ejercicio del cargo electo","masa jabatan, masa jabatan terpilih",3
12-2,14,支持度,zhīchídù,N,approval rating,tỷ lệ ủng hộ,คะแนนการอนุมัติ,အတည်ပြုအဆင့်သတ်မှတ်ချက်,支持率,지지율,índice de aprobación,peringkat persetujuan,3
12-2,15,落選,luòxuǎn,Vp,to lose an election,thất cử,ที่จะแพ้การเลือกตั้ง,ရွေးကောက်ပွဲရှုံးဖို့,選挙に負ける,선거에서 패배하다,perder una elección,kalah dalam pemilu,3
12-2,16,得票率,dépiàolǜ,N,percentage of votes received,tỷ lệ phiếu bầu,เปอร์เซ็นต์ของคะแนนเสียงที่ได้รับ,ထောက်ခံမဲ ရာခိုင်နှုန်း,得票率,받은 득표율,porcentaje de votos recibidos,persentase suara yang diterima,3
12-2,17,預期,yùqí,N,expectation,kỳ vọng,ความคาดหวัง,မျှော်လင့်ချက်,期待,기대,expectativa,ekspektasi,3
12-2,18,暫時,zhànshí,Adv,"temporarily, for the time being",tạm thời,เป็นการชั่วคราวในขณะนั้น,လောလောဆယ်တော့ ယာယီပေါ့။,一時的に、当分の間,"일시적으로, 당분간","temporalmente, por el momento","sementara, untuk saat ini",3
12-2,19,老家,lǎojiā,N,hometown,quê nhà,บ้านเกิด,မွေးရပ်မြေ,ホームタウン,고향,ciudad natal,kampung halaman,3
12-2,20,形象,xíngxiàng,N,image,hình ảnh,ภาพ,ပုံ,画像,영상,imagen,gambar,3
12-2,21,商量,shāngliáng,V,"to confer, consult with","bàn bạc, thảo luận",เพื่อหารือปรึกษากับ,ဆွေးနွေးတိုင်ပင်ရန်,協議する、相談する,"협의하다, 협의하다","conferenciar, consultar con","berunding, berkonsultasi dengan",3
12-2,22,人脈,rénmài,N,"network of people, contacts",mạng lưới quan hệ,เครือข่ายผู้คนผู้ติดต่อ,လူများကွန်ရက်၊ အဆက်အသွယ်များ,人のネットワーク、連絡先,"사람, 연락처 네트워크","red de personas, contactos","jaringan orang, kontak",3
12-2,23,弱勢,ruòshì,N,disadvantaged (lit. weak power),"yếu thế, thiệt thòi",ด้อยโอกาส (หมายถึงกำลังที่อ่อนแอ),အားနည်းချက် (စာသားအရ၊ အားနည်းသော)၊,恵まれない（文字通り、力が弱い）,"불리한 (문자 그대로, 약한 힘)","en desventaja (literalmente, poder débil)","dirugikan (harfiah, kekuatan lemah)",3
